,Paddy,Wheat,Coarse cereals,Gram,Arhar,Other pulses,Groundnut,Rapeseed and mustard,Other oil seeds,kapas,"jute, hemp and mesta",Sugarcane,Coconut,Tobacco,Tea,Coffee,Rubber,Fruits,Vegetables,Other food crops,Milk,Wool,Egg and poultry,Other livestock products,Industry Wood,Firewood,Other forestry products,Inland Fish,Marine Fish,Coal and Lignite,Natural Gas,Crude petroleum,Iron ore,Manganese ore,Bauxite,Copper ore,Other Metallic minerals,Limestone,Mica,Other non metallic minerals,Processed poultry meat & poultry meat products,Processed other meat & meat products,Processed fish & fish products,Processed fruits & Processed Vegetables,Dairy products,Edible Oils and Fats,"Grain Mill products, starch and starch products",Sugar,Bread & Bakery products,Miscellaneous food products,Alcoholic beverages,Non alcoholic beverages,Tea processed,Coffee processed,Tobacco Products,Cotton Yarn and Cotton Textiles,Synthetic yarn and synthetic textiles,Wool yarn and woolen textiles,Silk yarn and silk textiles,Carpet weaving,Ready made garments,Misc. textile products,Leather footwear,Leather and leather products except footwear,Wood and wood products except furniture,"Paper, Paper products and newsprint","Publishing, printing and allied activities",Furniture & Fixtures,Rubber products,Plastic products,Petroleum products,Coal tar products,Inorganic chemicals,Organic chemicals,Fertilizers,Pesticides,"Paints, varnishes and lacquers",Drugs and medicine,"Soaps, cosmetics and glycerin","Synthetic fibres, resin",Other chemicals and chemical products,Cement,Non metallic mineral products,Iron and steel Ferro alloys,Iron and steel casting and forging,Iron and steel foundries,Non ferrous basic metals (including alloys),"Hand tools, hardware",Miscellaneous metal products,Tractors and other agricultural implements,Industrial machinery for food and textile industry,Industrial machinery (except food and textile),Machine tools,Other non electrical machinery,Electrical industrial machinery,"Electrical cables, wires",Batteries,Electrical appliances,Communication equipment,Other electrical machinery,Electronic equipment including T.V,"Medical precision, optical instrument",Watches and clocks,Ships and boats,Rail equipment,Motor vehicles,Motor cycles and scooters,"Bicycles, cycle-rickshaw",Aircrafts & Spacecrafts,Other transport equipment,Gems & jewellery,Miscellaneous manufacturing,Construction and construction services,Electricity,Gas,Water Supply,Trade,Repair & Maintenance of Motor Vehicle,Hotels & Restaurant,Railway Transport,Land transport,Air transport,Water Transport,Supportive and Auxiliary transport activities,Storage and warehousing,Communication services,Financial services,Insurance services,Ownership of dwellings,Real estate services,Renting of machinery & equipment,Research & Development Services,Legal services,Other Business services,Computer related services,Public administration and defence,Education services,Human health and social care services,"Community, social and personal services","Recreation, entertainment and radio & TV broadcasting and other services"
Paddy,0.014184244246217535,0.015833066870210112,0.017314666330775927,0.019714324243909644,0.01981979267765184,0.018940056059275588,0.01854715932432759,0.02019249742386705,0.019788025344141907,0.020459983072196417,0.020459619464406706,0.018417421560981462,0.019460062500396173,0.019928077167746375,0.020464210961351304,0.02031767041694242,0.020464392845239418,0.010859363577623815,0.010646537274440218,0.012965056287489214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3843138206631144e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.931843542928107e-06,0.0007170266418155904,0.0006781545072388328,0.0006477530693987188,0.009144859789354592,8.514795171704811e-07,0.00047386359684206865,0.18161411027757493,0.00022591033986371826,0.0002771624580227789,0.03231776835660589,0.0005587285820710206,0.0007628854455347198,0.000290571953724727,0.0003178373264213981,0.0,8.366647966850912e-05,0.00010322501882947657,0.00012207623504370486,0.0001231216062634171,0.00012092667037715169,4.06728630919591e-05,9.173233147299517e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.426905547619623e-07,0.0,0.0,0.0,5.272847946423818e-05,1.8037437839202453e-06,3.5743496605514353e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.3092209153835044e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009409344622691267,2.1142347744567132e-05,7.413449055975889e-05,4.7164434641947676e-07,0.011560895363742149,0.0015391374768660875,0.0,0.007570504900255509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000463974037299374,0.0,0.0,0.0,0.0,0.012058901312220031,0.0,0.0,0.0,0.0
Wheat,0.013754558671332118,0.015353433248408958,0.016790150380039066,0.019117115073002934,0.019219388534648052,0.018366301918066263,0.017985307266619947,0.01958080287649909,0.019188583534042493,0.019840185539390466,0.019839832946429565,0.017859499670046193,0.018870555721068213,0.019324392745400962,0.019844285352424374,0.01970218398411648,0.019844461726474836,0.010530399143513388,0.01032402002150115,0.012572303768031071,0.0008653284810920816,0.002658353027941201,0.0017353436768278005,0.0013908644933166593,0.0,0.0,0.0,0.0,0.0,8.477560251246629e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0334467875299797e-05,0.00021708146036618792,0.00020531283246680258,0.0001961087274326396,0.0039036006737966436,1.547455062843729e-05,0.0001434632907870483,0.07917791998623096,0.0006899897202039147,0.0008465271973718983,0.014593501317103198,0.00019865905140302955,0.00027020004064368173,0.0008874833315313367,0.0009707589659692314,0.0,0.0,3.865227749817819e-06,0.0,0.0,0.0,0.0,5.32622235601967e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0475914739051258e-05,1.1288376253531907e-05,3.16980362377463e-05,3.1304016441413854e-05,2.69020006900948e-05,0.0,2.5883223605794927e-05,2.278796219432669e-05,1.6199719521341598e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.3161496439233339e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3964353899659186e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004107318942228096,9.22648056017662e-06,3.321222370485322e-05,1.6769576761581397e-07,0.011212516581151551,0.0006702553261035111,0.0,0.02079459712342406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00020303164739230922,0.0,0.0,0.0,0.0,0.019057589910110338,0.0,0.0,0.0,0.0
Coarse cereals,0.005941673648415554,0.006632353092863258,0.007252984006963466,0.00825818272888202,0.008302362665622237,0.007933847587045083,0.007769266088301394,0.008458485891561247,0.008289055567611236,0.008570533625682277,0.008570381313103264,0.00771491991121243,0.008151674389416769,0.008347722227270957,0.00857230465677452,0.008510919920582396,0.008572380846572603,0.004548906045871084,0.004459754701931636,0.005430964946485709,0.002484682158192522,0.007633127168502036,0.004982821629428627,0.003993692876774317,0.0,0.0,0.0,0.0005798053290780069,0.0005906520171027734,4.51430083378883e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.136185506754807e-05,0.0007762306764609143,0.0007341489160934152,0.0007012372677894387,0.00263526837539498,0.00011979532828880913,0.0005129899488749,0.03779864111909242,0.0013957406269099494,0.0017123913104198044,0.00787622343285297,0.010578594487211324,0.01408963588106122,0.001795239124950445,0.0019636926291306533,0.0,0.0,5.545761554086437e-06,0.0,0.0,0.0,0.0,7.641971206463006e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.372631245168224e-05,2.987909394656616e-05,4.547979112372295e-05,4.4914458372463355e-05,3.859852272926645e-05,1.5505894803731286e-06,3.718985037433769e-05,3.269577184403395e-05,2.3243075834968382e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.0328016663302198e-05,9.648706336826888e-06,9.2139468691672e-08,7.520992151123997e-08,1.4130446177200829e-07,2.218407381039682e-06,4.55546062470415e-06,3.484250284054352e-06,2.107268257898466e-06,1.2812723910663296e-07,2.2273514680823305e-06,0.0,8.632432125527528e-07,5.624312832220479e-07,5.685407813883129e-06,0.0,1.5098669807189986e-05,1.5846044705348893e-05,8.720840528026769e-06,1.3938985842279302e-05,1.5804260585511384e-05,1.4459868303968677e-05,1.5793441421925257e-05,0.0,0.002013914071395077,4.550347572866612e-06,1.8669864002690767e-05,8.929799625542093e-06,0.0048554191856072975,0.00033393972867424985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00010165859287098483,0.0,0.0,0.0,0.0,0.0005959927259442232,0.0,0.0,0.0,0.0
Gram,0.004737321965403381,0.005288003658280815,0.005782835356511047,0.006584284622613036,0.006619509476271124,0.006325690818494214,0.006194469281393232,0.006743987196071123,0.00660889966976987,0.006833323336598933,0.006833201897124324,0.006151138840562322,0.006499365065278896,0.006655674849944392,0.006834735387309079,0.006785793073020075,0.006834796133762915,0.0036268623631673024,0.003555781613048655,0.004330131719904106,0.001249433935498655,0.003838353363168569,0.0025056349432129024,0.0020082469670209017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.433800170655764e-05,0.0,0.0,0.0,0.0017507094700111472,0.0,0.0,0.03733724142636711,0.000781054353327274,0.0009582515990554991,0.007269968051328981,0.0,0.0,0.0010046131113273507,0.0010988794386352213,0.0,2.038029632950863e-05,2.5144555868718648e-05,2.9736518792697337e-05,2.9991160500063138e-05,2.945649663033182e-05,9.907492291631063e-06,2.2345055102396255e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.05519871133892e-09,0.0,8.706749173138112e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4898546730705758e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0019423480107492322,4.377162451777381e-06,1.6408027152783568e-05,0.0,0.0038641794661759266,0.00031503282105547635,0.0,0.0,0.0,0.00879583487808127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.604191569150664e-05,0.0,0.0,0.0,0.0,0.00030372181916828205,0.0,0.0,0.0,0.0
Arhar,0.0007715859247942438,0.0008612775789332536,0.0009418727287425342,0.0010724078660367786,0.0010781450739960447,0.0010302896944296494,0.0010089171358836182,0.0010984192409725724,0.0010764170138344293,0.0011129697632106844,0.0011129499838944364,0.001001859739636451,0.0010585766897609646,0.0010840354680826203,0.0011131997493634097,0.0011052283256121774,0.0011132096433729586,0.0005907210806068981,0.0005791438843099402,0.000705265276876449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0008834578144603e-06,3.946935643021599e-05,3.732960590305501e-05,3.565613226047993e-05,0.0005240519921587036,0.0,2.6084234688554238e-05,0.0104497646173093,2.2766158280839826e-05,2.7931100420900196e-05,0.001867831396942752,0.0,1.0926324229306086e-06,2.9282444949003496e-05,3.2030118166497485e-05,0.0,1.0726471752372963e-06,1.3233976773009816e-06,1.5650799364577545e-06,1.5784821315822704e-06,1.550341927912201e-06,5.214469627174244e-07,1.1760555317050662e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0816835322836421e-10,0.0,4.582499564809532e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.342625728681051e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005409833920034103,1.2131152047257941e-06,4.265673073275705e-06,0.0,0.0006289097149898842,8.84723650277467e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6690524932436152e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other pulses,0.003348159282440491,0.003737360192816154,0.0040870884476771835,0.004653522356814285,0.004678417945843116,0.004470758075229656,0.00437801567547103,0.004766394071605533,0.004670919337477145,0.0048295334635130305,0.004829447634703602,0.004347391365208871,0.004593504438204265,0.004703978258705822,0.004830531447337431,0.004795940878005736,0.004830574380624375,0.0025633286012762403,0.0025130914261273654,0.003060372678501797,0.00354970182722893,0.010904946279814283,0.007118629231678228,0.0057055260993178975,0.0,0.0,0.0,0.0,0.0,5.298475157029143e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.2584877052867415e-05,0.00021050323429448525,0.00019909123148296006,0.00019016603872255963,0.0007544689455819532,5.076189218936754e-06,0.00013911591833895594,0.012206634830417767,0.0011960989312164308,0.001467457045190372,0.0031787074318699047,1.2416190712689347e-05,2.233928306714429e-05,0.0015384546077053375,0.0016828131313629062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6504234550265827e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.281548748222429e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006487777261704188,1.472832223525389e-06,6.906454642859419e-06,1.0480985475988373e-08,0.0027339721457377143,0.00010569577055227034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.25599547588955e-05,0.0,0.0,0.0,0.0,0.0003544330026200778,0.0,0.0,0.0,0.0
Groundnut,0.008262591789463309,0.009223062297359093,0.010086122135137116,0.01148396846564335,0.011545405832312934,0.011032942536157822,0.01080407272258605,0.011762513428778145,0.011526900756929569,0.011918328901447749,0.0119181170930013,0.01072849801027856,0.011335856168797554,0.011608483605315885,0.011920791727214957,0.011835429075667328,0.011920897678035773,0.006325785623664687,0.0062018102581294,0.00755239163760908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.265584176417697e-06,7.732087631396102e-06,7.5719286104079e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.984531637949925e-05,0.021091985527902642,0.019948526621193678,0.019054240900753135,0.01826847017655806,0.0,0.013939125192733512,0.0011049363193720442,0.0015480987630971082,0.0018993148286212133,0.0015362915811554978,0.0,0.0005838906264538624,0.001991206256532238,0.002178048035321829,0.0,4.290588700949185e-06,5.293590709203926e-06,6.260319745831018e-06,6.313928526329082e-06,6.201367711648804e-06,2.0857878508696976e-06,4.704222126820265e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.219654667647188e-06,7.172593327618878e-06,1.4648161366297436e-07,3.955417086923259e-06,0.0,0.0,0.0,4.3267341291345684e-10,0.0,1.8329998259238128e-06,3.805447407972351e-06,0.0,0.0,0.0,0.0,0.0,0.0,2.9529854955031146e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002775493232622977,7.004334157158105e-07,6.191852356451895e-06,0.0,0.006742704542404542,0.000246430786722475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2142490968529523e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rapeseed and mustard,0.0011519885663594698,0.0012858994591658157,0.001406229143911009,0.0016011199277355499,0.0016096856593793242,0.001538236909048658,0.001506327380520851,0.0016399552739470742,0.0016071056414134796,0.0016616794069492854,0.0016616498761537692,0.0014957905893174955,0.0015804697883057912,0.001618480100051497,0.0016620227794886836,0.0016501213324509156,0.0016620375513831797,0.0008819548269340515,0.0008646699111054597,0.001052970912382403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.388489007340326e-06,0.07767569345466506,0.07346466441721226,0.07017126828862451,0.06714265040568293,0.0,0.05133377386707474,0.0012031873313429315,9.982084784675923e-05,0.00012246713261471626,0.00037715397999157354,0.0,0.002150300608327438,0.00012839225862255378,0.00014043974888387358,0.0,4.612382853520374e-05,5.6906100123942205e-05,6.729843726768345e-05,6.787473165803763e-05,6.666470290022465e-05,2.2422219396849246e-05,5.0570387863317844e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.656419680308205e-06,1.5915386328708046e-07,1.9704748128680987e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.904074357960153e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008030668562357188,2.0213979463941793e-06,1.2713344870260879e-05,0.0,0.0009472506227288003,0.0008813375384685875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.834078274608049e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other oil seeds,0.005779964023458676,0.0064518458158413184,0.007055585530879702,0.008033426589293473,0.008076404117179952,0.007717918609170606,0.007557816389164109,0.008228278266207712,0.008063459187466294,0.008337276489680037,0.008337128322466705,0.007504949307097006,0.007929816999347106,0.008120529165097952,0.00833899932008159,0.008279285241561879,0.008339073436284858,0.004425102226582212,0.004338377241148115,0.005283154858517591,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2789346424083096e-05,0.12489858568139459,0.11812746401322298,0.11283184964205205,0.10809325513600185,7.585901177832782e-06,0.08254211154778052,0.004733706437269842,0.0005183679116252761,0.0006359696711220352,0.0014065256199522346,0.0,0.0034575746005626367,0.0006667387465311565,0.0007293011520987119,0.0,1.3944413278084852e-05,4.879820532516276e-05,2.034603917395081e-05,2.0520267710569516e-05,2.0154445062858614e-05,6.778810515326517e-06,1.964232975099933e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00024910747699746246,9.011173904942603e-05,0.00025909699185636104,0.0002558763083037306,0.00021989461433642707,0.00018917332279411365,0.00021803947614567953,0.00019222407084874883,0.0001324150986961835,0.0,0.0,0.0,2.32176075747851e-08,6.337688393600348e-10,0.0,4.122153960917244e-07,5.448936246799606e-07,1.256154074699833e-05,1.1995155998388804e-05,9.402317364504562e-06,8.620336514003148e-06,9.03165774139078e-06,7.11798424802463e-06,0.0,0.0,1.1414341448417073e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014608036372773276,3.716018132817605e-06,2.2307921101440003e-05,0.0,0.004725558205493299,0.0014454039818527216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001199710020140924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kapas,0.003904132373958898,0.004357961402386822,0.0047657632083080315,0.005426255370066335,0.005455284955249448,0.0052131424658266685,0.005104999879171601,0.005557869812106728,0.005446541177784987,0.005631493712054062,0.005631393631082627,0.00506929029935809,0.005356271274539012,0.005485089643891103,0.0056326574144436,0.005592322964923891,0.005632707476947006,0.002988977922831311,0.0029303986960592786,0.003568557838087422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.40680968611765e-06,0.0,0.0,9.398722214862616e-05,0.0,0.0,1.6624773997284344e-05,0.0,0.0,0.0,0.0,0.0,0.11663536324660266,0.14390920445464045,0.1701805319706704,0.17163783305972977,0.1685779798734611,0.06003154431747468,0.12800617925874472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.492694879189181e-05,2.3486570284158914e-05,6.753059894128559e-05,6.669116546214255e-05,5.7312957991941095e-05,0.00019007958429954918,6.124341794849539e-05,0.0498768155351965,3.451244593677123e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9750145264491304e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011023178127762925,0.00010314297637658537,0.00042762319203501936,0.0,0.0031816709436242583,0.0014633113709191414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003463943626031968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"jute, hemp and mesta",0.00014168843329554975,0.00015815875700969927,0.00017295866475910805,0.00019692918897282164,0.0001979827281589543,0.00018919491394716115,0.00018527021257743086,0.00020170572888119094,0.00019766539974604293,0.00020437768106862868,0.00020437404893869888,0.00018397424360589516,0.00019438933225151444,0.0001990643973325371,0.00020441991405475786,0.0002029560997132142,0.0002044217309187868,0.00010847572737691542,0.00010634977516270359,0.00012950979136254153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010663185569033963,0.013155896310049058,0.015558459648326538,0.015691690870059352,0.01541194910537519,0.005183704256373916,0.011691168040680062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0753015994431686e-06,0.0,0.004555462817377156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009989893309925993,9.350888033257068e-06,3.8109825553555466e-05,0.0,0.00011546892576466739,0.00012971628378079342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.153573971311377e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sugarcane,0.005294835148588044,0.0059103239847755,0.006463390102628408,0.007359158170527834,0.007398528471853097,0.007070131675547174,0.006923467291752253,0.007537655390147113,0.007386670047031474,0.00763750508167332,0.00763736935055703,0.006875037494750735,0.007264244829138115,0.0074389499785789395,0.0076390833100028,0.007584381204500331,0.00763915120542162,0.0040536907687156,0.003974244858797554,0.004839724594613237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8346842090105917e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008588811924611533,0.00015349194167306216,0.0001451706896229917,0.00013866273656853306,0.00043141430617774296,8.598215714913242e-06,0.00010143869045548871,0.00576392737556699,0.19536165793672058,0.23968321835030326,0.1675112743599557,0.0006642662031288801,0.0008876363188385272,0.2512794175946949,0.27485783555244564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.829765484392217e-07,0.0,0.0,0.0,2.791061064671631e-05,9.549231797224828e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.726507352221102e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002867001569119352,9.472078586071312e-06,0.00031767563956266537,5.607327229653778e-07,0.005191172176259303,0.0001340093515772254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00022293815665871275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Coconut,0.0024318047410181853,0.0027144856230251644,0.002968497083202518,0.0033799042324791887,0.0033979861713368353,0.0032471605339409507,0.00317980071369308,0.003461884194602179,0.0033925398499891498,0.0035077430261670076,0.003507680687763104,0.0031575579418881357,0.0033363125611428402,0.003416550906392131,0.0035084678727441594,0.0034833443635561437,0.0035084990556604823,0.0018617736253059723,0.0018252858150207497,0.0022227821800157948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0911534290048174e-05,1.9759779502456705e-05,1.9350484226597966e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.665871029676428e-05,0.009181010854073019,0.008683281106449519,0.008294012543034971,0.007934729074686888,3.7843534096465824e-08,0.006067482813387589,0.00010373568145911706,0.0005026067251231561,0.0006166327554460274,0.00045605015257007197,2.4832381425378694e-05,0.00028718226222360977,0.0006464662846433849,0.0007071264549065213,0.0,0.0,4.0332811302446815e-06,0.0,0.0,0.0,0.0,5.557797241064004e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3339117483987259e-05,1.8329960726137134e-05,3.217529641189751e-05,2.1644922841755492e-05,3.307621172634396e-05,3.26650606345188e-05,2.8071652894011966e-05,1.5505894803731286e-06,2.7061632441635328e-05,2.3778743159297418e-05,2.662908741752251e-05,0.0,0.0,0.0,0.0,0.0,0.0,9.587181416395858e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4571499721383496e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00010174932182731365,2.7243026930494206e-07,2.305610276016923e-06,2.0961970951976746e-08,0.0019850118064847887,0.00010461989107391537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.842204174012415e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tobacco,0.0006637795081563255,0.0007409393942519606,0.000810273744686691,0.0009225704396444144,0.0009275060417011881,0.000886337042513331,0.0008679506697920947,0.0009449474907368837,0.0009260194270711359,0.0009574650058758583,0.0009574479901367307,0.000861879336892835,0.0009106717630478557,0.0009325734266339508,0.0009576628582347896,0.0009508052062651666,0.0009576713698477946,0.0005081852010809842,0.0004982255771209266,0.000606725218231037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01758494493687886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.106468958692752e-06,1.2500521746691583e-08,1.2595359086227542e-07,0.0,0.0005409468152670831,4.142434049054195e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6988623620058184e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
