Product,Paddy,Wheat,Coarse cereals,Gram,Arhar,Other pulses,Groundnut,Rapeseed and mustard,Other oil seeds,kapas,"jute, hemp and mesta",Sugarcane,Coconut,Tobacco,Tea,Coffee,Rubber,Fruits,Vegetables,Other food crops,Milk,Wool,Egg and poultry,Other livestock products,Industry Wood,Firewood,Other forestry products,Inland Fish,Marine Fish,Coal and Lignite,Natural Gas,Crude petroleum,Iron ore,Manganese ore,Bauxite,Copper ore,Other Metallic minerals,Limestone,Mica,Other non metallic minerals,Processed poultry meat & poultry meat products,Processed other meat & meat products,Processed fish & fish products,Processed fruits & Processed Vegetables,Dairy products,Edible Oils and Fats,"Grain Mill products, starch and starch products",Sugar,Bread & Bakery products,Miscellaneous food products,Alcoholic beverages,Non alcoholic beverages,Tea processed,Coffee processed,Tobacco Products,Cotton Yarn and Cotton Textiles,Synthetic yarn and synthetic  textiles,Wool yarn and woolen textiles,Silk yarn and silk textiles,Carpet weaving,Ready made garments,Misc. textile products,Leather footwear,Leather and leather products except footwear,Wood and wood products except furniture,"Paper, Paper products and newsprint","Publishing, printing and allied activities",Furniture & Fixtures,Rubber products,Plastic products,Petroleum products,Coal tar products,Inorganic chemicals,Organic chemicals,Fertilizers,Pesticides,"Paints, varnishes and lacquers",Drugs and medicine,"Soaps, cosmetics and glycerin","Synthetic fibres, resin",Other chemicals and chemical products,Cement,Non metallic mineral products,Iron and steel Ferro alloys,Iron and steel casting and forging,Iron and steel foundries,Non ferrous basic metals (including alloys),"Hand tools, hardware",Miscellaneous metal products,Tractors and  other agricultural implements,Industrial machinery for food and textile industry,Industrial machinery (except food and textile),Machine tools,Other non electrical machinery,Electrical industrial machinery,"Electrical cables, wires",Batteries,Electrical appliances,Communication equipment,Other electrical machinery,Electronic equipment including T.V,"Medical precision, optical instrument",Watches and clocks,Ships and boats,Rail equipment,Motor vehicles,Motor cycles and scooters,"Bicycles, cycle-rickshaw",Aircrafts & Spacecrafts,Other transport equipment,Gems & jewellery,Miscellaneous manufacturing,Construction and construction services,Electricity,Gas,Water Supply,Trade,Repair & Maintenance of Motor Vehicle,Hotels & Restaurant,Railway Transport,Land transport,Air transport,Water Transport,Supportive and Auxiliary transport activities,Storage and warehousing,Communication services,Financial services,Insurance services,Ownership of dwellings,Real estate services,Renting of machinery & equipment,Research & Development Services,Legal services,Other Business services,Computer related services,Public administration and defence,Education services,Human health and social care services,"Community, social and personal services","Recreation, entertainment and radio & TV broadcasting  and other services"
Paddy,0.01679625639416818,0.018606616055672095,0.02043703856088139,0.021085026353335142,0.022386751730147127,0.02236815771039728,0.021801202101849482,0.02305712576332728,0.022218301459186515,0.023564542229578364,0.023528947368421052,0.02137706454481987,0.02252884453056298,0.022880700982173475,0.023573737469613318,0.023347451652156657,0.0235757887381508,0.012437177716294358,0.012971374768420122,0.016218677327954317,0.0,0.0,1.9248840699369976e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006159475529806373,0.000553153385052262,0.0005550792499285542,0.007223029086417342,4.108412883535571e-09,0.0004443867572746332,0.17642233543303287,0.0,0.0,0.022138574693376135,0.0,1.4151132329826315e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00011505730907829279,1.971960938340758e-06,0.0,2.301674875797354e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0019167431624691044,4.894352929961382e-06,1.0564574339468209e-05,0.0,0.015835328154491696,0.006891890829198241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00015364177735940437,0.0,0.0,0.0,0.0,0.010076367723241213,0.0,0.0,0.0,0.0
Wheat,0.014115543065180597,0.015636966004062197,0.0171752497199936,0.01771981747220224,0.01881378509118952,0.01879815871109777,0.01832169025761067,0.019377166199042745,0.01867221979245358,0.01980359806655316,0.019773684210526315,0.01796524583265591,0.01893319962002575,0.019228899136567664,0.0198113257294122,0.01962115554348564,0.019813049611728566,0.01045218133992124,0.010901119562678536,0.013630146677356977,0.0,0.0,7.90917711904806e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00025308736087818263,0.0002272857968284047,0.00022807711754490096,0.0038406356732503155,4.272867363207313e-05,0.00018259455868215128,0.07445337532425746,0.0010613166319553698,0.0012330813978791,0.010132803872878654,0.00017335953242812396,0.00025800261916042574,0.001339578395279641,0.0014172477382393448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.3687572472526966e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008153396117915869,2.1378957478338877e-06,8.228869219619508e-06,0.0,0.01330798073513596,0.0029199710174470156,0.0,0.021102530397633913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.511358063982852e-05,0.0,0.0,0.0,0.0,0.026414728300546485,0.0,0.0,0.00023795613087119758,0.0025331919783911643
Coarse cereals,0.0022730645606692202,0.0025180634635234575,0.002765777503485794,0.002853470740133712,0.0030296353420733724,0.003027118983288302,0.002950391963229826,0.0031203581449084005,0.0030068386942865093,0.003189027636482476,0.0031842105263157894,0.002892992741218213,0.00304886499071482,0.0030964822937512475,0.0031902720431978655,0.003159648417303384,0.0031905496446887898,0.001683143388515398,0.0017554371401172517,0.0021948998508919274,0.0,0.0,6.66086121230674e-07,0.0,0.0,0.0,0.0,0.00229685751072406,0.002932963201639155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002131422472937948,0.0019141297829283722,0.0019207940381191057,0.003109693683797136,7.712385884212482e-05,0.0015377541749255872,0.027403579376133122,0.0019153643687288672,0.0022253492521723994,0.004935013345193984,0.004842582212605366,0.00704121672930741,0.0024175450098340816,0.002557715329951947,0.0,0.0,8.863384403333818e-06,0.0,0.0,0.0,0.0,3.545671611170878e-07,0.0,0.0,0.0,8.575262749405834e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.00012989108004433057,9.3063238327008e-05,0.00013249873378226183,0.00013027290071524026,0.00012237148033964008,6.574703375902444e-05,0.00010784464428087516,2.725167023614841e-05,0.00010693685596341744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00034375877915985886,1.0568511260601725e-06,8.86481870564889e-06,1.996394281927498e-06,0.002143020586839834,0.0011227273321284157,0.0,0.010230036148537628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5824712385451395e-05,0.0,0.0,0.0,0.0,0.0004492648029470604,0.0,0.0,0.00011535582580425725,0.0012280349807259508
Gram,0.00839718891420778,0.009302267505743683,0.010217376397174793,0.01054133405652702,0.011192123949642955,0.01118282797958571,0.010899381880692002,0.01152727347747153,0.01110790823426504,0.011780953334774106,0.011763157894736842,0.010687336820863976,0.01126316240371508,0.011439070952948823,0.011785550440573932,0.011672420186236467,0.011786575960131314,0.006217893344350272,0.006484961996962078,0.008108431680567699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012727965370060927,4.3832860441217425e-05,0.0,0.011462552829245125,0.0010887860036059792,0.0012649964458242061,0.00224762524463922,7.364358360882073e-05,0.00010833349902402274,0.0013742498360986434,0.0014539294444055396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00013260188521334012,3.941553199128521e-07,4.551558568276786e-06,0.0,0.007916778531548808,0.00045926981404692367,0.0,0.003662504107788367,0.0,0.00035738967746658083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0255930661094457e-05,0.0,0.0,0.0,0.0,0.0005572050478109646,0.0,0.0,4.1299090221280024e-05,0.00043965466945681734
Arhar,0.0009505542708253103,0.0010530083574734458,0.0011565978650940592,0.0011932695822377342,0.0012669384157761375,0.001265886120284199,0.0012338002755324727,0.0013048770424162403,0.0012574052721561768,0.0013335933752563081,0.001331578947368421,0.0012097969645094345,0.0012749799052080158,0.0012948925955687035,0.0013341137635191074,0.0013213075199632331,0.001334229851415312,0.0007038599624700755,0.0007340918949581234,0.0009178672103729879,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000879065697700797,5.730442764104112e-06,0.0,0.019273777332849396,0.0001423412894622496,0.00016537797571554989,0.002522268125069056,9.627716205740327e-06,1.4162865698094718e-05,0.00017966110242574008,0.00019007793195210037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00020952968373720348,5.416123918059369e-07,1.653178900589476e-06,0.0,0.0008961722454057487,0.0007535629565462744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.680182275807056e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other pulses,0.003313789987620252,0.0036709619418639496,0.004032092162106563,0.004159935855864354,0.004416757639187957,0.0044130891624136895,0.0043012325811053,0.004549017989767288,0.0043835235179515725,0.004649127893186023,0.0046421052631578945,0.004217553054139609,0.0044447916062983,0.00451421055055967,0.004650942053058707,0.004606297362085263,0.004651346754736384,0.002453772675488564,0.002559166210881679,0.0031998374685730246,0.0008618078788183526,0.002649801894051069,0.0019150870687738534,0.0015135272784027667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0042098160730583215,0.00015542569321587646,0.0,0.03303593793512246,0.0038606953247129453,0.004485514920284915,0.00701591750596269,0.00038979099891160615,0.0005698144651997434,0.004872913409652529,0.005155447066630652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.533759179853416e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003879974576019731,1.18968421178658e-06,1.568921990186336e-05,0.0,0.0031242052191615428,0.0013317144196289166,0.0,0.019510351626684193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.975780017443205e-05,0.0,0.0,0.0,0.0,0.002591295202712509,0.0,0.0,0.00022000242139411352,0.0023420635016286446
Groundnut,0.005532376141463516,0.006128675124030233,0.00673158243616997,0.006945017627846101,0.007373781886286018,0.007367657360152107,0.007180912670836229,0.007594590691533256,0.007318297483201463,0.007761724288794126,0.00775,0.0070412096056922625,0.007420584626161277,0.00753647963231192,0.007764753030758441,0.007690218668560715,0.00776542868066817,0.004096576263783344,0.004272530890615955,0.0053421322817163025,0.0,0.0,2.2555448482875612e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007217563652995884,0.006481752784251011,0.006504319725647959,0.0028444230898247297,0.00608561180369734,0.005207244824104242,0.0013352330849335148,0.0013884518761580838,0.0016131606052253637,0.001482711107495411,9.391245983143194e-05,0.00030397050504535783,0.0017524837359423067,0.0018540935116731193,0.0,3.457776230011275e-05,4.398722740931157e-05,4.957392977852847e-05,4.9548401710127694e-05,4.796828611026881e-05,1.766101655218814e-05,3.889204803706713e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.724783459432366e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000107568930373075,4.80120580584246e-07,5.943523851079805e-06,0.0,0.005215864155572984,0.00018926937161081468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.121223783624688e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rapeseed and mustard,0.00046400574089694,0.0005140179136283421,0.000564584333356191,0.0005824853494322536,0.0006184462227207628,0.0006179325527869508,0.0006022700949733611,0.0006369656709027892,0.0006137926921394775,0.0006509833274472493,0.00065,0.000590553063703222,0.0006223716138070749,0.000632091840129387,0.000651237350966837,0.0006449860818792857,0.0006512940183786206,0.00034358381567215147,0.00035834130050327366,0.00044804980427298025,0.0,0.0,2.576200041126076e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08243634700411648,0.07403218695489061,0.07428993822682407,0.020225597298681747,9.798991839462805e-06,0.05947522763821638,0.000555574259557369,0.00022974383562328004,0.00026692585554088753,0.0030565464646004794,1.5539471770668594e-05,0.001916799275728165,0.0002899793232134752,0.0003067924515718111,0.0,0.0,7.2908484608068495e-06,0.0,0.0,0.0,0.0,2.916600841447013e-07,0.0,0.0,0.0,7.05384516483383e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.00010684588842356224,5.9877458704637584e-05,0.00010899089391766699,0.00010715996671737504,0.00010066041124712328,0.0,8.778400455495602e-05,2.2416696484573692e-05,8.785599864394875e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006062543786164734,2.5057662660799705e-06,8.398597703870935e-06,1.642195296424232e-06,0.0004374595743383793,0.0010982012760465318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.290557089066873e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other oil seeds,0.008183032418409193,0.009065028468684446,0.009956799012548858,0.010272494664481364,0.01090668723146414,0.010897628339837886,0.010621411067627373,0.011233289321670243,0.010824619299431433,0.011480499491336914,0.011463157894736842,0.010414773868385567,0.010975913966573353,0.01114733625750449,0.011484979355512315,0.011374734302292182,0.011485978720879643,0.006059316198655433,0.006319573704422106,0.007901639463210939,0.0,0.0,3.2622020420902566e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1043878640036591,0.09374580685088682,0.09407219327749566,0.02718659068714313,6.453541736416251e-05,0.07531255568584057,0.015871247127855877,0.0015857319089215526,0.001842368676831126,0.0067363524272810345,0.00010725613667798432,0.0025560459476561778,0.002001487720006052,0.0021175348559576094,0.0003906388721190383,0.0006643870041950236,0.0008829240178424195,0.0009525276507445827,0.0009520371471445964,0.0009216763545473078,0.0003393438180384721,0.0007487926928452701,0.0,0.0,0.0,3.651402202972807e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0005530845988984399,0.0003099539038828298,0.0005641881567502763,0.0005547104159487649,0.0005210656582204029,0.0,0.00045441131769624295,0.0008317299061715835,0.0004547839929804406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010260840754403985,3.998958947478899e-06,1.945445462523528e-05,8.500775652078379e-06,0.007714874112623402,0.002039983034372865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.535225896802632e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kapas,0.0024627997016837583,0.0027282489261812007,0.0029966399231982446,0.0030916530085250385,0.003282522259056356,0.00327979585709997,0.0031966643502432243,0.0033808177917148043,0.0032578227505864576,0.0034552191995277075,0.00345,0.003134473953501717,0.003303357027129859,0.003354948997609823,0.0034565674782085962,0.003423387665359286,0.0034568682513942176,0.0018236371754906501,0.0019019653642096833,0.0023781104996027412,0.0,0.0,2.384188090585331e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007629211770086903,0.006851434501983959,0.00687528853129328,0.0018675301389999633,5.088737145844554e-08,0.005504235973767982,0.00034070913427460036,0.0,0.0,0.000303311466825161,0.0,0.00017527788658032394,0.0,0.0,0.0,0.12630886092206542,0.16068062880899273,0.1810882539884882,0.18099500268977037,0.17522300970158586,0.06466694628044753,0.1420684844742594,0.0,0.0,0.0,0.0,0.0,8.628746280986114e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003813327958023418,6.535641967072226e-06,0.13606234893364352,7.628408159785515e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009095678422312879,4.408662677874025e-05,0.0005550923283631184,0.0,0.002321900817642167,0.007224354662591434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00020201464016542336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"jute, hemp and mesta",7.5142630104767615e-06,8.324176738920521e-06,9.143066127225766e-06,9.432961124408966e-06,1.0015323444870652e-05,1.0007004903432402e-05,9.753361861916779e-06,1.0315233536887276e-05,9.939962625740527e-06,1.0542240120603228e-05,1.0526315789473684e-05,9.563612367663515e-06,1.0078892531288662e-05,1.023630510330991e-05,1.0546353861811125e-05,1.0445118734887218e-05,1.0547271552690213e-05,5.564110375257514e-06,5.8030979838586826e-06,7.255867275675794e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014968466315702379,0.019041756551009485,0.021460200101626557,0.021449149183159207,0.020765128426520296,0.007645327915324016,0.016836089794903242,0.0,0.0,0.012487466563944697,8.280301430956078e-06,6.073550912029588e-07,9.082890822090646e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016124321539921327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011446069950000366,5.204937482205865e-06,6.57569007512171e-05,0.0,7.0843655763300285e-06,0.0008504485322742775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4391807328634067e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sugarcane,0.007533048668002953,0.008344987180767822,0.00916592379254383,0.009456543527219988,0.01004036175348283,0.010032022415690983,0.009777745266571571,0.010341021620729493,0.009964812532304879,0.010568595720904735,0.010552631578947369,0.009587521398582672,0.010104089762616883,0.010261895866068184,0.010572719746465653,0.010471231531724436,0.01057363973157194,0.005578020651195658,0.0058176057288183295,0.007274006943864983,0.0017493413659596412,0.005378702352103662,0.0038873542565007434,0.003072234475563825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.268943436499467e-05,3.83373633204538e-05,3.84708391039592e-05,0.15519702771276642,0.011196846577814779,3.079908218735082e-05,0.00208571286749716,0.20765596360058536,0.2412632556250272,0.1548790429230091,0.014255406139315691,0.02096556203095418,0.26210033284583184,0.2772970251136299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.028764977655573e-07,0.0,0.0,0.0,8.218379219878057e-05,1.4085435273862557e-06,0.0,1.6440534827123955e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001691900203515618,1.5024537340881028e-05,0.0007381419071023545,0.0,0.007102076490270854,0.0023919801566372532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.6645185697497016e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Coconut,2.0664223278811094e-05,2.2891486032031433e-05,2.5143431849870855e-05,2.5940643092124656e-05,2.7542139473394292e-05,2.7519263484439106e-05,2.6821745120271144e-05,2.8366892226440007e-05,2.733489722078645e-05,2.8991160331658873e-05,2.894736842105263e-05,2.6299934011074663e-05,2.771695446104382e-05,2.814983903410225e-05,2.9002473119980596e-05,2.872407652093985e-05,2.900499676989809e-05,1.5301303531958165e-05,1.5958519455611377e-05,1.995363500810843e-05,0.0,0.0,1.965859324891102e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006290593078213142,0.0056492843235783,0.005668952933676273,0.0018505855254781407,1.7333821067867042e-05,0.004538464753750338,2.9467130917890906e-05,0.00042952108399134967,0.0004990352951416593,0.0005383454379614466,2.905205591907607e-05,0.00018726076147396292,0.0005421352564425841,0.0005735684964168642,0.0,0.0,1.7297895367796643e-05,0.0,0.0,0.0,0.0,6.919778466962521e-07,0.0,0.0,0.0,1.673559343029203e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0002534971078284516,0.00014206220594629703,0.0002585862385105433,0.00025424227397651726,0.00023882176001768465,0.0,0.00020827185394411136,5.318471126732189e-05,0.0002084426634493686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.092219079450316e-05,2.6984001316802945e-07,2.337563701264765e-06,3.896188840535923e-06,1.948200533490758e-05,9.123667065983433e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.878811161349756e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tobacco,1.6907091773572712e-05,1.8729397662571173e-05,2.057189878625797e-05,2.1224162529920175e-05,2.2534477750958967e-05,2.2515761032722908e-05,2.1945064189312754e-05,2.320927545799637e-05,2.2364915907916186e-05,2.372004027135726e-05,2.368421052631579e-05,2.1518127827242907e-05,2.267750819539949e-05,2.3031686482447297e-05,2.3729296189075032e-05,2.3501517153496243e-05,2.373136099355298e-05,1.2519248344329406e-05,1.3056970463682037e-05,1.6325701370270534e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5536197703066773e-05,0.0,0.0,0.0,0.0,0.01607301395646152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0514417165358751e-07,1.131623930216291e-08,8.279468001084378e-08,0.0,1.5939822546742566e-05,3.745350667136739e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8388356862054735e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031887761445508075,0.0017178258861446835,0.0,0.00042857322059453403,0.042669923035815065,0.04957567493072984,0.03182142568887124,0.0028861190667979816,0.004245629582163937,0.053857355388572295,0.056980028478342784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001314940675180489,2.253669643818009e-06,0.0,2.630485572339833e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003496204544456689,3.086932374241274e-06,0.0001516689096134434,0.0,0.0,0.0004894233823642358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.159842426525964e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
