Product,Paddy,Wheat,Coarse cereals,Gram,Arhar,Other pulses,Groundnut,Rapeseed and mustard,Other oil seeds,kapas,"jute, hemp and mesta",Sugarcane,Coconut,Tobacco,Tea,Coffee,Rubber,Fruits,Vegetables,Other food crops,Milk,Wool,Egg and poultry,Other livestock products,Industry Wood,Firewood,Other forestry products,Inland Fish,Marine Fish,Coal and Lignite,Natural Gas,Crude petroleum,Iron ore,Manganese ore,Bauxite,Copper ore,Other Metallic minerals,Limestone,Mica,Other non metallic minerals,Processed poultry meat & poultry meat products,Processed other meat & meat products,Processed fish & fish products,Processed fruits & Processed Vegetables,Dairy products,Edible Oils and Fats,"Grain Mill products, starch and starch products",Sugar,Bread & Bakery products,Miscellaneous food products,Alcoholic beverages,Non alcoholic beverages,Tea processed,Coffee processed,Tobacco Products,Cotton Yarn and Cotton Textiles,Synthetic yarn and synthetic textiles,Wool yarn and woolen textiles,Silk yarn and silk textiles,Carpet weaving,Ready made garments,Misc. textile products,Leather footwear,Leather and leather products except footwear,Wood and wood products except furniture,"Paper, Paper products and newsprint","Publishing, printing and allied activities",Furniture & Fixtures,Rubber products,Plastic products,Petroleum products,Coal tar products,Inorganic chemicals,Organic chemicals,Fertilizers,Pesticides,"Paints, varnishes and lacquers",Drugs and medicine,"Soaps, cosmetics and glycerin","Synthetic fibres, resin",Other chemicals and chemical products,Cement,Non metallic mineral products,Iron and steel Ferro alloys,Iron and steel casting and forging,Iron and steel foundries,Non ferrous basic metals (including alloys),"Hand tools, hardware",Miscellaneous metal products,Tractors and other agricultural implements,Industrial machinery for food and textile industry,Industrial machinery (except food and textile),Machine tools,Other non electrical machinery,Electrical industrial machinery,"Electrical cables, wires",Batteries,Electrical appliances,Communication equipment,Other electrical machinery,Electronic equipment including T.V,"Medical precision, optical instrument",Watches and clocks,Ships and boats,Rail equipment,Motor vehicles,Motor cycles and scooters,"Bicycles, cycle-rickshaw",Aircrafts & Spacecrafts,Other transport equipment,Gems & jewellery,Miscellaneous manufacturing,Construction and construction services,Electricity,Gas,Water Supply,Trade,Repair & Maintenance of Motor Vehicle,Hotels & Restaurant,Railway Transport,Land transport,Air transport,Water Transport,Supportive and Auxiliary transport activities,Storage and warehousing,Communication services,Financial services,Insurance services,Ownership of dwellings,Real estate services,Renting of machinery & equipment,Research & Development Services,Legal services,Other Business services,Computer related services,Public administration and defence,Education services,Human health and social care services,"Community, social and personal services","Recreation, entertainment and radio & TV broadcasting and other services"
Paddy,0.018131289247375903,0.020034097611065893,0.022828163834097144,0.024935529598845024,0.02518366944430748,0.024378976222784395,0.024071907691530815,0.025964146565528562,0.025225914904650946,0.02594822330604424,0.026095858165242746,0.023760194986118702,0.02490326714983753,0.025598845805483855,0.026007350654593794,0.025865249663594405,0.026097286801900772,0.014760524653513171,0.014477524455688206,0.016670066500754765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011319876050617286,0.0,0.0,0.15777908897337076,0.0,0.0,0.012030005378177132,0.0,0.0,0.0,0.0,0.0,0.0,3.916886429544458e-05,0.0,0.0,0.0,0.0,8.029001419993667e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001993180424941949,0.00010200055791779504,0.00021236909749144012,0.00020990951117817654,0.0001933809001698468,0.0,0.00018212931326164048,0.00015131744912875094,0.000177275129289193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006688439357405345,5.028730421539444e-06,1.7130315421468435e-05,9.191202652221321e-07,0.013708899922445908,0.004298273408806088,0.0,0.00026677632249689045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00014418541298113387,4.529799948898397e-05,0.0,0.0,0.0,0.014248913180480726,0.0,0.0,0.0,0.0
Wheat,0.012191488525471411,0.013470937880428616,0.015349669493649265,0.016766663353786012,0.016933512717744265,0.016392436567952924,0.016185963524352167,0.017458305948823343,0.016961918587729774,0.01744759914068397,0.01754686889846684,0.01597636773557915,0.016744970065928094,0.017212677523637,0.017487356401270814,0.0173918076194059,0.017547829514514918,0.009924984621228072,0.009734695137815382,0.011208961574103756,0.0008204102603766706,0.0025210947528942927,0.0016970458830923947,0.001372779825220939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004300732366065379,0.0,0.0,0.059944076279433565,6.207960467707741e-06,7.758734395245447e-06,0.004576171505015066,0.0,0.0,7.0231377272424e-06,8.46451569215403e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2812195047449542e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0025339986276202973,1.8848462154614364e-06,6.479914950562009e-06,0.0,0.009217699764576008,0.0016313929665453524,0.0,0.0007306612654373433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.452123725153599e-05,1.680006178144573e-05,0.0,0.0,0.0,0.019456771986704664,0.0,0.0,0.0,0.0
Coarse cereals,0.001878929491966372,0.0020761158422207995,0.0023656624573199056,0.0025840469103900654,0.0026097614234293887,0.002526371775551813,0.0024945505348471205,0.0026906415782192382,0.0026141392831754914,0.002688991464901585,0.0027042907349758586,0.002462248022475905,0.002580703581292163,0.002652785783073007,0.00269511877981316,0.0026803929796130974,0.002704438783331022,0.0015296201340120636,0.001500293073444509,0.0017275042692202335,0.0023544209155815336,0.0072350609238504004,0.0048701978934537074,0.003939616176307453,0.0,0.0,0.0,0.00018985339099251134,0.00018421106494463435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00017694128641468853,0.00017120782968311593,0.00016098806031269194,0.0025212300186080567,0.0004316300222010181,0.0001022876686753449,0.031871151009030596,0.0015969978303178166,0.0019959344231768915,0.003897480083624019,0.00230546589854839,0.0028083463161001445,0.0018067021803331075,0.002177496661806624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.588047948090634e-06,0.0,0.0,0.0,0.0007044210572682494,2.1082496056681537e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2959371759563946e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014090966229994345,1.308245236849012e-06,1.482511304915041e-05,0.0,0.0014286030965323265,0.0008884453007622401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1793941986490274e-05,4.5685614923907286e-05,0.0,0.0,0.0,0.0006084961930042293,0.0,0.0,0.0,0.0
Gram,0.0053223657269060925,0.005880927331742858,0.006701114032273255,0.007319722624708162,0.007392563060429537,0.007156348659761478,0.007066209949587187,0.007621668923997545,0.0074049640423554065,0.007616994716367648,0.0076603323248506435,0.0069747079611024625,0.007310252114888326,0.007514436381471311,0.007634351307459951,0.007592638143330488,0.007660751695292597,0.004332891580690042,0.004249818031255093,0.004893429772055695,0.0011841162680632977,0.003638751798229024,0.002449383844732682,0.0019813634738879097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3743012537063187e-05,1.3297695509368226e-05,1.2503927014578016e-05,0.003607237225239445,0.0,7.94467329517242e-06,0.050106941038813475,0.0,0.0,0.003820879773856502,0.0,1.9455778124469823e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00018093952721688947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0021183671864237917,1.5760536232131004e-06,5.381786348801201e-06,0.0,0.004024108877745528,0.0013639321815898738,0.0,0.0,0.0,0.00014330997806364098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.559143934490287e-05,1.403740295352719e-05,0.0,0.0,0.0,0.005309353516461262,0.0,0.0,0.0,0.0
Arhar,0.0005806678187048572,0.000641606650294957,0.0007310886676467725,0.0007985785998371458,0.0008065254601421457,0.0007807545703122337,0.0007709204756814988,0.0008315208116224097,0.0008078784019530195,0.0008310108575741741,0.0008357389720775595,0.0007609376479716359,0.0007975453712765253,0.0008198217872114962,0.0008329044542202614,0.0008283535658993242,0.0008357847252129609,0.0004727166136150642,0.0004636533249916229,0.0005338710899479534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006520673163311916,0.0,0.0,0.009088667283988137,0.0,0.0,0.000692973428977608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00038418550268111044,2.8570518257073453e-07,9.759803625863962e-07,0.0,0.0004390283323976974,0.0002473442660202891,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.265297513840247e-06,2.545445333029702e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other pulses,0.0023480279481253178,0.0025944443588346295,0.0029562799399166432,0.00322918682728907,0.003261321292976537,0.0031571123672887703,0.0031173465523190737,0.003362394198962233,0.003266792140648455,0.0033603321140335597,0.0033794510399293453,0.0030769793101385803,0.0032250087938954695,0.0033150872268901546,0.003367989190427782,0.0033495869083963944,0.003379636050424462,0.0019115091013430106,0.0018748601700534619,0.0021587975078244752,0.0033645107647770527,0.010339035047223059,0.0069596023084395175,0.005629783929693951,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5768148506993474e-05,2.4933179080065423e-05,2.344486315233378e-05,0.0012622524158597992,0.0,1.4896262428448287e-05,0.017238335433176735,0.00038489354899787996,0.00048104153250521774,0.0016674893481580938,0.0,3.647958398338092e-06,0.0004354345390890288,0.0005247999729135498,0.0,0.0,4.434211052314481e-06,0.0,0.0,0.0,0.0,9.08943556980415e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2564306697456026e-05,1.1547232971825853e-05,2.4041784621672466e-05,2.3763340888095457e-05,2.1892177377718507e-05,6.062143349984934e-06,2.079984566249145e-05,1.71302772598586e-05,2.0068882561040713e-05,0.0,0.0,0.0,0.0,0.0,0.0,7.943560929418715e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007383650329504572,5.818144631396146e-07,4.532433075546342e-06,1.0405135077986401e-07,0.0017766814770466164,0.0004725676243465343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.62540138707252e-05,5.96936525742607e-06,0.0,0.0,0.0,0.0009186451447526999,0.0,0.0,0.0,0.0
Groundnut,0.004675770557605924,0.005166474511545418,0.005887019664369644,0.00643047571222575,0.006494467024026711,0.006286949465745672,0.006207761384963684,0.00669573963594639,0.006505361455027808,0.006691633281077629,0.006729705958563405,0.006127375645675531,0.006422155740759444,0.006601534391344973,0.006706881282018175,0.0066702357009535106,0.006730074381190829,0.003806504085179818,0.0037335228440373474,0.004298944497222821,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026070494782808866,0.025225728381271524,0.023719949546654497,0.02335920394215609,0.0,0.015071045240942079,8.90168907795654e-05,0.00015675100180962046,0.00019590804347994754,0.0009697678718667295,0.0,0.003690761110211926,0.0001773342276128706,0.00021372902122688924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001212964978750259,0.0,0.0,0.0,0.0,0.0,1.0167676279263138e-05,1.8401007012146708e-05,4.35237829988251e-07,6.363110507775441e-06,0.0,0.0,0.0,0.0,0.0,0.0,2.2456101370332833e-06,0.0,0.0,0.0,0.0,0.0,0.0,3.235079249481009e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00032461206058181317,8.217774034380617e-07,3.185399434116601e-06,3.789640023906918e-08,0.0035396440013207814,0.0004111571849474041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.01154753629942e-05,4.66857973689051e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rapeseed and mustard,0.0006503986702960518,0.0007186554838456614,0.0008188831583030442,0.0008944777766734842,0.0009033789542640191,0.0008745133069217813,0.0008634982620624648,0.000931375930922044,0.0009048943672530546,0.0009308047378505487,0.0009361006390301048,0.0008523166231647364,0.0008933204704472871,0.000918272001832964,0.0009329257314737862,0.0009278283390968414,0.0009361518865376614,0.0005294838925426374,0.0005193322177307916,0.0005979822470377731,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12805739082035478,0.12390792675629314,0.11651159192183795,0.11499767843862503,0.0,0.0740284657644166,0.0041011708379951285,0.0,0.0,0.004338017183281081,0.0,0.01812889405638098,0.0,0.0,0.0,0.001740993603375695,0.001961361866497036,0.0026032330327436476,0.002625584710805663,0.0025236062333073963,0.00026419340186444745,0.0020702630966172855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7792437344689646e-07,0.0,0.0007573414640577778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001978241097156544,4.332701096682085e-06,1.5825329561036794e-05,0.0,0.0005106017711701555,0.002172467672167918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00010510224182885152,2.32848138302061e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other oil seeds,0.010538233425927452,0.01164418008133555,0.013268141933362385,0.014492981052066279,0.014637204420745667,0.014169502158155647,0.013991028370883445,0.015090831847610195,0.014661758246798032,0.015081576961040469,0.015167385012901036,0.013809855305546372,0.014474229532861307,0.014878512435157108,0.015115942846023609,0.015033351178504767,0.015168215362380198,0.008579084044472518,0.008414599208144911,0.00968894432237421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14660873986882295,0.14185815348200156,0.13339033040064144,0.13203453723229397,0.0007105844310766944,0.08475278162873748,0.00937209786397514,0.006704597305124361,0.008379433146865083,0.01146035604941757,0.0,0.020755180905957852,0.007584988745421792,0.00914167694752635,0.005830565747082647,0.00046808292932864077,0.0005483935657277408,0.000699904319768358,0.0007059137840894173,0.0006784958864111552,7.10309453258361e-05,0.0005570419579379849,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00010718045681291612,5.4849356616172806e-05,0.00011419847695294421,0.00011287586921845342,0.0001039878425441629,9.706901624928656e-05,0.00010084038635154755,0.00028498737727705546,9.53271921649434e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.3837170651245504e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0023770423335153184,5.394779599758572e-06,6.04313977225972e-05,4.94243916204354e-07,0.00801312447808535,0.002608488224182301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001296139995026011,4.5029487009385665e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kapas,0.002211101912273517,0.002443148467498701,0.002783883485537055,0.0030408757164104416,0.0030711362499735856,0.0029730043026736583,0.0029355574445164494,0.0031663150556102237,0.0030762880633320223,0.003164373221854497,0.0031823772211861654,0.0028975442315775832,0.0030369413264328825,0.0031217668054516357,0.003171583773275406,0.0031542546264812696,0.0031825514427323226,0.0018000388081761396,0.0017655270715838216,0.002032906508448102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016096503434035257,0.0015574925865347534,0.00146452245158245,0.0014621273589285446,0.0,0.0009305198596970696,0.0002834053487301863,0.0,0.0,7.220578368082339e-05,0.0,0.00022787580128285278,0.0,0.0,0.0,0.10175954892993799,0.1146398806038864,0.1521566872261182,0.15346312320210784,0.14750257064713898,0.024435701943988426,0.12102055961768743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6244435834661058e-05,0.0,0.04426594423955952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015150517338060708,2.036946509354842e-05,0.00030867502796336926,0.0,0.0016719955020770307,0.0036988570553299184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002622940027319852,5.958884372476683e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"jute, hemp and mesta",6.33916832647224e-06,7.004439413700403e-06,7.981317332388345e-06,8.718106985121678e-06,8.804863101988491e-06,8.523521509958883e-06,8.416162398269637e-06,9.077738118148577e-06,8.819633209094101e-06,9.072170934215874e-06,9.12378790477685e-06,8.307179563009125e-06,8.70682719734198e-06,8.950019511042534e-06,9.092843386684076e-06,9.043161199774283e-06,9.124287393154594e-06,5.160661720688474e-06,5.061717521742608e-06,5.82828700816543e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01048108692979596,0.011807742534885228,0.015671919564666365,0.015806480587946724,0.015192552262446193,0.001590490628943599,0.012463347045688095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6731534868123249e-06,0.0,0.0045593284805513406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015460316723654621,2.0770567527311692e-06,3.167044846750377e-05,0.0,4.792885724865691e-06,0.0003753807776099986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6696623295447776e-05,5.558524636764862e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sugarcane,0.006379739003761663,0.007049267825948086,0.008032397763315631,0.008773902869826457,0.008861214225841216,0.00857807204762262,0.008470025837618562,0.009135835642104729,0.008876078861632303,0.009130232828194855,0.009182180147367422,0.008360345512212385,0.008762550891404968,0.009007299635913206,0.009151037584358854,0.009101037431452838,0.009182682832470784,0.00519368995570088,0.0050941125138817605,0.005865588045017689,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010801981115680917,0.0037721244020767902,0.0,0.00040866834166507893,0.16667753059748516,0.20831425977794502,0.15260593530075336,0.00032220969184531715,0.0003889909062707556,0.1885642248387312,0.2272637818186435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.412211590102572e-07,0.0,0.0,0.0,3.394800275991563e-05,1.0160239063460983e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4399462482897276e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003059521421546995,1.307304400514914e-05,0.0011508854447217689,0.0,0.005412911889784835,0.0010977172461997678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00020677674990803098,0.00031450994900723633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Coconut,2.535667330588896e-05,2.8017757654801612e-05,3.192526932955338e-05,3.487242794048671e-05,3.5219452407953964e-05,3.409408603983553e-05,3.366464959307855e-05,3.631095247259431e-05,3.5278532836376404e-05,3.6288683736863496e-05,3.64951516191074e-05,3.32287182520365e-05,3.482730878936792e-05,3.5800078044170135e-05,3.63713735467363e-05,3.617264479909713e-05,3.6497149572618376e-05,2.0642646882753896e-05,2.024687008697043e-05,2.331314803266172e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010997845782784815,0.010641480831371923,0.010006267593416057,0.009852086445243803,0.0,0.0063577248044617285,4.223824530226802e-07,0.00017227090297888982,0.00021530487946806116,0.0005034302664057792,0.0,0.0015569486444106976,0.00019489207193097661,0.0002348903104572743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.555384125667248e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001361003373340486,3.448675427858953e-07,2.0589281802371278e-06,0.0,2.139936109338528e-05,0.0001727595908759334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.53863328905278e-06,2.1449695808387002e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
